indice_desenvolvimento_cidade,horas_formacao,anos_exp_num,genero,experiencia_relevante,inscricao_universidade,nivel_educacao,area_formacao,tipo_empresa,dimensao_empresa,anos_desde_ultimo_emprego,target
0.91,21,6.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,500 a 999,1 ano,0
0.92,74,21.0,Feminino,Com experiência relevante,Não inscrito,Mestrado,Humanidades,Startup financiada,100 a 500,2 anos,0
0.924,94,9.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10 a 49,1 ano,0
0.624,75,15.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,1 ano,0
0.698,157,12.0,Masculino,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",ONG,500 a 999,1 ano,0
0.8959999999999999,59,13.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Setor público,1000 a 4999,2 anos,0
0.92,56,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Mais de 4 anos,1
0.92,220,6.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.479,44,21.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Doutoramento,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,10000 ou mais,Mais de 4 anos,0
0.878,12,6.0,Masculino,Sem experiência relevante,Não inscrito,Ensino Básico,Desconhecido,Empresa privada,Menos de 10,3 anos,0
0.8959999999999999,222,21.0,Masculino,Com experiência relevante,Não inscrito,Doutoramento,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,Nunca,0
0.92,55,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,1
0.479,23,1.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Mestrado,Outro,Outro,10 a 49,Desconhecido,1
0.624,80,2.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,10 a 49,2 anos,0
0.91,25,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,4 anos,0
0.795,29,10.0,Desconhecido,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,50 a 99,1 ano,0
0.754,100,7.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.887,24,10.0,Masculino,Sem experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,1
0.91,40,21.0,Masculino,Com experiência relevante,Não inscrito,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,1 ano,0
0.698,30,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,1 ano,0
0.698,94,8.0,Feminino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,1000 a 4999,1 ano,1
0.804,25,9.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,1
0.624,100,3.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,1
0.789,16,3.0,Feminino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,1
0.925,98,1.0,Desconhecido,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.848,32,3.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Outro,Empresa privada,50 a 99,Nunca,0
0.92,78,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,5000 a 9999,Mais de 4 anos,0
0.923,12,21.0,Masculino,Com experiência relevante,Curso a tempo parcial,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,50 a 99,1 ano,0
0.624,46,7.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Desconhecido,Desconhecido,Nunca,1
0.903,80,21.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Mais de 4 anos,0
0.939,74,8.0,Feminino,Sem experiência relevante,Não inscrito,Licenciatura,Humanidades,ONG,10 a 49,Mais de 4 anos,0
0.767,14,18.0,Desconhecido,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Empresa privada,100 a 500,Nunca,0
0.624,56,5.0,Desconhecido,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,0
0.92,28,2.0,Feminino,Sem experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Setor público,Desconhecido,1 ano,0
0.925,55,7.0,Desconhecido,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,Nunca,0
0.92,80,21.0,Masculino,Com experiência relevante,Não inscrito,Mestrado,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,2 anos,0
0.939,28,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,Gestão e Negócios,Desconhecido,Desconhecido,Mais de 4 anos,0
0.579,18,9.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Licenciatura,Humanidades,Desconhecido,Desconhecido,Mais de 4 anos,0
0.92,95,21.0,Masculino,Com experiência relevante,Não inscrito,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Startup financiada,10 a 49,4 anos,0
0.836,45,5.0,Masculino,Sem experiência relevante,Curso a tempo inteiro,Ensino Secundário,Desconhecido,Empresa privada,100 a 500,1 ano,0
0.91,98,7.0,Masculino,Com experiência relevante,Curso a tempo inteiro,Licenciatura,"Ciência, Tecnologia, Engenharia e Matemática",Desconhecido,Desconhecido,1 ano,1
