indice_desenvolvimento_cidade,horas_formacao,anos_exp_num,genero_enc,experiencia_relevante_enc,inscricao_universidade_enc,nivel_educacao_enc,area_formacao_enc,tipo_empresa_enc,dimensao_empresa_enc,anos_desde_ultimo_emprego_enc,real,previsto_lr,previsto_arvore,previsto_rf,previsto_rf_opt
0.897,42,3.0,2,0,3,5,1,5,8,6,0,0,0,0,0
0.91,4,21.0,2,0,3,4,1,1,3,5,1,0,0,0,0
0.8959999999999999,150,9.0,2,1,0,5,4,0,7,0,0,0,1,1,0
0.624,12,9.0,0,0,3,4,1,0,0,4,1,0,1,1,1
0.887,12,21.0,0,0,3,4,1,1,3,3,1,0,0,0,0
0.6659999999999999,29,6.0,0,0,3,4,1,6,4,0,0,0,1,1,1
0.6659999999999999,31,5.0,2,0,3,4,1,0,7,0,0,1,1,1,1
0.923,41,4.0,2,1,3,3,2,0,7,6,0,0,0,0,0
0.556,27,21.0,2,0,3,5,1,0,7,1,1,1,1,1,1
0.91,11,9.0,0,0,3,4,1,6,4,1,0,0,0,0,0
0.624,160,3.0,0,1,3,5,1,1,8,4,1,1,1,1,1
0.878,142,8.0,0,0,0,3,2,0,7,0,0,0,0,1,1
0.624,314,9.0,2,0,3,4,1,1,2,5,1,1,1,1,1
0.624,81,6.0,0,0,3,4,1,1,6,1,1,1,1,1,1
0.92,77,21.0,2,0,3,4,1,1,3,5,0,0,0,0,0
0.939,74,8.0,1,1,3,4,4,2,0,5,0,0,0,0,0
0.8270000000000001,18,7.0,2,0,3,4,1,1,1,3,0,0,0,1,1
0.804,79,5.0,2,0,0,3,2,1,1,0,0,0,0,0,0
0.939,112,5.0,2,0,3,5,1,1,4,1,0,0,0,0,0
0.92,24,10.0,0,0,3,5,1,0,7,0,0,0,0,0,1
0.884,14,6.0,2,0,3,0,2,0,1,0,0,0,0,0,0
0.92,33,10.0,1,0,3,2,2,5,4,0,0,0,0,0,0
0.624,20,9.0,0,0,3,4,1,1,2,3,0,1,1,1,1
0.925,28,16.0,2,0,3,4,0,0,7,0,0,0,1,1,1
0.55,39,15.0,0,0,3,5,1,1,0,5,0,0,1,0,1
0.92,56,21.0,2,0,3,4,1,4,5,5,0,0,0,0,0
0.855,100,7.0,2,0,3,4,1,1,2,1,1,0,0,0,0
0.92,14,9.0,0,0,3,0,2,0,7,6,0,0,0,0,0
0.624,5,15.0,1,0,3,4,1,1,3,0,1,1,1,1,1
0.624,5,3.0,0,0,3,4,1,1,0,1,1,0,1,1,1
0.926,20,15.0,2,1,3,5,1,1,7,6,1,1,0,0,0
0.926,158,18.0,2,0,3,5,1,1,1,0,0,0,0,0,0
0.926,58,16.0,2,0,1,5,1,2,4,2,0,0,0,0,0
0.92,57,10.0,2,0,3,4,1,0,7,0,1,0,1,1,1
0.878,31,13.0,2,0,3,4,1,2,1,0,0,0,0,0,0
0.884,111,18.0,2,0,3,5,1,0,7,3,0,0,0,0,0
0.691,7,5.0,0,0,3,4,1,1,0,4,0,0,1,1,1
0.878,60,21.0,2,0,3,4,1,0,7,3,1,1,1,1,1
0.92,17,15.0,0,0,1,5,1,1,2,1,0,0,0,0,0
0.92,28,9.0,2,0,3,4,1,1,5,0,0,0,0,0,0
0.92,92,21.0,2,0,3,5,1,0,7,1,1,0,0,1,1
0.754,90,8.0,2,0,0,4,1,0,7,1,0,1,1,1,1
0.91,34,21.0,2,0,3,4,6,1,1,0,0,0,0,0,0
0.926,34,21.0,0,0,3,5,1,1,8,1,0,0,0,0,0
0.878,100,21.0,2,0,3,5,1,0,7,3,0,0,0,0,0
0.92,94,13.0,2,0,3,4,1,1,3,0,1,0,0,0,0
0.92,29,19.0,2,0,3,4,1,1,2,0,0,0,0,0,0
0.884,10,2.0,2,0,3,5,1,1,8,1,0,0,0,0,0
0.92,36,1.0,2,1,3,4,4,4,1,0,0,0,0,0,0
0.804,56,3.0,0,0,1,4,4,6,1,0,0,0,0,0,0
0.926,44,9.0,1,0,3,5,4,0,7,0,0,0,0,0,0
0.624,10,3.0,2,0,3,4,1,6,4,0,0,1,1,1,1
0.836,39,16.0,2,0,3,4,1,1,1,3,1,0,0,0,0
0.92,87,4.0,1,0,3,4,0,1,0,2,0,0,0,0,0
0.92,52,21.0,2,0,3,4,1,0,7,0,0,0,1,1,1
0.8959999999999999,224,13.0,2,0,3,5,1,4,2,5,0,0,0,0,0
0.92,16,15.0,2,0,0,4,1,1,4,5,0,0,0,0,0
0.682,76,21.0,2,0,3,4,1,1,1,1,0,0,1,0,0
0.878,248,3.0,2,1,3,4,1,0,7,0,0,1,1,1,1
0.624,108,7.0,0,0,3,4,1,1,5,0,1,0,1,1,1
0.92,20,15.0,2,0,3,4,1,1,5,3,0,0,0,0,0
0.743,28,21.0,2,0,3,4,6,4,5,2,0,0,0,0,0
0.754,44,5.0,2,0,1,4,1,1,3,0,0,0,0,1,0
0.92,126,21.0,2,0,3,5,1,1,2,5,0,0,0,0,0
0.624,14,2.0,2,0,3,4,1,0,4,1,1,1,1,1,1
0.802,102,6.0,2,0,3,4,1,0,7,0,0,1,1,1,1
0.92,88,21.0,2,1,3,5,1,0,7,5,1,0,0,1,1
0.624,8,9.0,2,1,0,3,2,0,7,0,0,1,1,1,1
0.925,46,11.0,0,0,3,4,1,5,0,0,0,0,0,0,0
0.939,66,5.0,2,0,0,3,2,1,3,1,0,0,0,0,0
0.92,56,21.0,2,0,3,4,1,1,2,5,0,0,0,0,0
0.92,23,21.0,2,0,3,4,1,5,8,0,0,0,0,0,0
0.91,114,15.0,2,0,3,4,0,6,0,0,0,0,0,0,0
0.5579999999999999,87,4.0,2,1,0,3,2,5,8,0,0,1,1,1,1
0.855,108,10.0,2,0,3,4,1,0,7,3,0,1,1,1,1
0.624,37,1.0,2,1,0,3,2,0,7,6,0,1,1,1,1
0.92,21,4.0,2,1,3,3,2,0,7,6,0,0,0,0,0
0.8270000000000001,130,6.0,1,0,3,5,1,1,1,0,0,0,0,0,0
0.92,124,21.0,2,0,3,4,4,1,3,1,0,0,0,0,0
0.92,17,3.0,2,1,0,4,1,0,7,0,1,1,1,1,1
0.92,58,17.0,2,0,3,4,1,0,7,1,0,1,1,1,1
0.92,60,5.0,2,0,3,5,1,6,8,1,0,0,0,0,0
0.83,19,14.0,2,0,3,4,1,1,0,5,0,0,0,0,0
0.866,47,3.0,2,1,2,0,2,0,7,6,0,0,0,0,0
0.92,10,21.0,2,1,0,4,3,3,5,5,0,0,0,0,0
0.624,28,9.0,0,0,0,4,1,1,4,2,0,1,1,1,1
0.92,94,21.0,2,0,3,4,1,1,6,3,0,0,0,0,0
0.92,77,3.0,1,1,3,4,1,0,7,0,1,1,1,1,1
0.794,26,5.0,2,1,3,4,4,1,3,5,0,1,0,0,0
0.878,77,5.0,2,1,1,4,1,1,3,0,0,0,0,0,0
0.92,82,9.0,2,0,3,4,1,1,3,0,0,0,0,0,0
0.624,28,4.0,2,1,3,3,2,0,7,0,1,1,1,1,1
0.682,80,5.0,2,1,3,4,1,0,7,0,0,1,1,1,1
0.624,78,7.0,2,0,3,4,1,1,5,0,1,1,1,1,1
0.91,32,14.0,2,0,3,4,1,1,4,0,0,0,0,0,0
0.624,45,1.0,0,1,0,3,2,0,7,4,0,1,1,1,1
0.92,7,3.0,0,0,1,4,1,1,4,1,0,0,0,0,0
0.836,89,21.0,2,0,3,2,2,0,7,0,0,0,0,0,0
0.624,10,3.0,0,1,0,4,1,0,7,6,1,1,1,1,1
0.698,47,1.0,0,1,0,4,1,0,7,0,0,1,1,1,1
0.92,106,10.0,0,1,1,5,4,0,7,1,0,0,1,1,1
0.949,70,14.0,2,1,3,4,1,1,7,6,0,1,0,0,0
0.92,8,10.0,2,0,3,5,1,1,1,0,0,0,0,0,0
0.89,73,9.0,2,0,2,4,1,1,8,0,1,0,1,0,0
0.926,16,10.0,0,1,0,3,2,5,0,0,0,0,0,0,0
0.91,300,1.0,2,0,3,5,1,1,4,6,0,0,0,0,0
0.92,134,21.0,1,0,3,4,1,6,8,0,0,0,0,0,0
0.91,28,21.0,2,0,3,4,1,1,2,5,0,0,0,0,0
0.897,34,7.0,2,1,0,4,1,0,7,6,0,1,1,1,1
0.92,27,21.0,2,0,3,4,1,6,8,5,0,0,0,0,0
0.855,22,7.0,2,0,0,4,1,1,0,0,0,0,0,0,0
0.878,24,11.0,2,0,3,5,1,1,1,0,1,0,0,0,0
0.897,12,7.0,2,0,3,5,1,5,8,0,0,0,0,0,0
0.92,244,18.0,1,0,1,4,1,4,1,5,0,0,0,0,0
0.92,48,21.0,2,1,3,4,3,1,2,0,0,0,0,0,0
0.55,52,4.0,0,0,3,4,1,0,0,6,1,0,1,1,1
0.624,50,9.0,2,0,3,4,1,6,8,3,1,1,1,1,1
0.624,13,5.0,0,0,3,4,1,1,2,0,0,1,1,1,1
0.92,42,1.0,1,1,0,4,4,0,7,0,1,1,1,1,1
0.92,66,14.0,2,0,3,4,1,1,4,5,1,0,0,0,0
0.92,28,3.0,2,1,1,5,1,1,1,0,0,0,0,0,0
0.92,158,2.0,2,0,3,4,1,0,3,0,0,0,1,0,0
0.903,21,4.0,2,0,3,1,1,4,6,1,1,0,0,0,0
0.92,43,21.0,2,0,3,5,1,1,2,5,0,0,0,0,0
0.91,246,14.0,1,0,3,4,1,1,3,0,0,0,0,0,0
0.624,10,1.0,0,0,1,3,2,1,8,6,1,0,1,1,1
0.92,34,9.0,0,0,3,4,3,0,7,6,0,0,1,1,1
0.5579999999999999,27,3.0,0,1,3,4,1,1,4,0,0,1,1,1,1
0.802,102,3.0,2,1,2,3,2,1,7,6,0,1,0,0,0
0.926,45,7.0,2,1,0,0,2,1,0,0,0,0,0,0,0
0.92,12,13.0,2,0,3,4,1,1,6,5,0,0,0,0,0
0.92,141,15.0,2,0,3,5,1,6,1,0,0,0,0,0,0
0.895,22,21.0,2,0,3,1,1,1,4,0,0,0,0,0,0
0.897,11,5.0,2,0,3,4,1,1,3,0,0,0,0,0,0
0.893,222,2.0,2,1,3,4,1,0,7,6,0,1,1,1,1
0.794,13,9.0,1,0,3,4,1,4,4,0,0,0,0,1,1
0.855,18,17.0,2,1,0,5,1,0,7,1,0,1,0,1,0
